# file...... T_1_AS_632.csv
# date...... Thu Nov 01 18:34:08 2018
# user...... arnav
# host...... (null)
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,T_1_AS_632:power_out_real
2005-11-01 11:40:00 PST,+4503.7
2005-11-01 11:50:00 PST,+4613.93
2005-11-01 12:00:00 PST,+4635.15
2005-11-01 12:10:00 PST,+7646.81
2005-11-01 12:20:00 PST,+4606.08
2005-11-01 12:30:00 PST,+4458.53
2005-11-01 12:40:00 PST,+4451.97
2005-11-01 12:50:00 PST,+4445.4
2005-11-01 13:00:00 PST,+4454.81
2005-11-01 13:10:00 PST,+4535.89
2005-11-01 13:20:00 PST,+4527.96
2005-11-01 13:30:00 PST,+4484.01
2005-11-01 13:40:00 PST,+4476.05
2005-11-01 13:50:00 PST,+4363.07
2005-11-01 14:00:00 PST,+4371.07
2005-11-01 14:10:00 PST,+4348.4
2005-11-01 14:20:00 PST,+4341.71
2005-11-01 14:30:00 PST,+4440.01
2005-11-01 14:40:00 PST,+4433.3
2005-11-01 14:50:00 PST,+4426.58
2005-11-01 15:00:00 PST,+4435.84
2005-11-01 15:10:00 PST,+16536.9
2005-11-01 15:20:00 PST,+16910.6
2005-11-01 15:30:00 PST,+4855.63
2005-11-01 15:40:00 PST,+1738.24
2005-11-01 15:50:00 PST,+1738.24
2005-11-01 16:00:00 PST,+1754.24
2005-11-01 16:10:00 PST,+13487.2
2005-11-01 16:20:00 PST,+13487.2
2005-11-01 16:30:00 PST,+1574.24
2005-11-01 16:40:00 PST,+3598.34
2005-11-01 16:50:00 PST,+3598.34
2005-11-01 17:00:00 PST,+3614.34
2005-11-01 17:10:00 PST,+3598.34
2005-11-01 17:20:00 PST,+3598.34
2005-11-01 17:30:00 PST,+7276.25
2005-11-01 17:40:00 PST,+5252.8
2005-11-01 17:50:00 PST,+5147.79
2005-11-01 18:00:00 PST,+5163.8
2005-11-01 18:10:00 PST,+5147.79
2005-11-01 18:20:00 PST,+5147.79
2005-11-01 18:30:00 PST,+5166.68
2005-11-01 18:40:00 PST,+5166.68
2005-11-01 18:50:00 PST,+5166.68
2005-11-01 19:00:00 PST,+5182.68
2005-11-01 19:10:00 PST,+17187.1
2005-11-01 19:20:00 PST,+17187.1
2005-11-01 19:30:00 PST,+5079.67
2005-11-01 19:40:00 PST,+5079.67
2005-11-01 19:50:00 PST,+5184.68
2005-11-01 20:00:00 PST,+5200.68
2005-11-01 20:10:00 PST,+17309.8
2005-11-01 20:20:00 PST,+17309.8
2005-11-01 20:30:00 PST,+5148.67
2005-11-01 20:40:00 PST,+5468.83
2005-11-01 20:50:00 PST,+5148.67
2005-11-01 21:00:00 PST,+5164.68
2005-11-01 21:10:00 PST,+17273.9
2005-11-01 21:20:00 PST,+19293
2005-11-01 21:30:00 PST,+6941.26
2005-11-01 21:40:00 PST,+6941.26
2005-11-01 21:50:00 PST,+6941.26
2005-11-01 22:00:00 PST,+6957.25
2005-11-01 22:10:00 PST,+3641.18
2005-11-01 22:20:00 PST,+1722.05
2005-11-01 22:30:00 PST,+1772.24
2005-11-01 22:40:00 PST,+1452.03
2005-11-01 22:50:00 PST,+1347.03
2005-11-01 23:00:00 PST,+1347.03
2005-11-01 23:10:00 PST,+1347.03
2005-11-01 23:20:00 PST,+1832.05
2005-11-01 23:30:00 PST,+4526
