# file...... H_1_HVAC.csv
# date...... Thu Nov 01 18:34:08 2018
# user...... arnav
# host...... (null)
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,H_1:hvac_load
2005-11-01 15:50:00 PST,+0.318544
2005-11-01 16:00:00 PST,+0.318544
2005-11-01 16:10:00 PST,+0.318465
2005-11-01 16:20:00 PST,+0.318465
2005-11-01 16:30:00 PST,+0.318546
2005-11-01 16:40:00 PST,+0.318533
2005-11-01 16:50:00 PST,+0.318533
2005-11-01 17:00:00 PST,+0.318533
2005-11-01 17:10:00 PST,+0.318533
2005-11-01 17:20:00 PST,+0.318533
2005-11-01 17:30:00 PST,+0.318528
2005-11-01 17:40:00 PST,+0.31852
2005-11-01 17:50:00 PST,+0.318521
2005-11-01 18:00:00 PST,+0.318521
2005-11-01 18:10:00 PST,+0.318521
2005-11-01 18:20:00 PST,+0.318521
2005-11-01 18:30:00 PST,+0
2005-11-01 18:40:00 PST,+0
2005-11-01 18:50:00 PST,+0
2005-11-01 19:00:00 PST,+0
2005-11-01 19:10:00 PST,+0
2005-11-01 19:20:00 PST,+0
2005-11-01 19:30:00 PST,+0
2005-11-01 19:40:00 PST,+0
2005-11-01 19:50:00 PST,+0
2005-11-01 20:00:00 PST,+0
2005-11-01 20:10:00 PST,+0
2005-11-01 20:20:00 PST,+0
2005-11-01 20:30:00 PST,+0
2005-11-01 20:40:00 PST,+0.318517
2005-11-01 20:50:00 PST,+0
2005-11-01 21:00:00 PST,+0
2005-11-01 21:10:00 PST,+0
2005-11-01 21:20:00 PST,+0
2005-11-01 21:30:00 PST,+0
2005-11-01 21:40:00 PST,+0
2005-11-01 21:50:00 PST,+0
