# file...... T_1_AS_632.csv
# date...... Thu Nov 15 15:18:02 2018
# user...... arnav
# host...... (null)
# trigger... (none)
# interval.. 200
# limit..... 0
# timestamp,T_1_AS_632:power_out_real
2005-11-01 04:53:20 PST,+786.009
2005-11-01 04:56:40 PST,+786.009
2005-11-01 05:00:00 PST,+1106.24
2005-11-01 05:03:20 PST,+1106.24
2005-11-01 05:06:40 PST,+681.007
2005-11-01 05:10:00 PST,+681.007
2005-11-01 05:13:20 PST,+1001.24
2005-11-01 05:16:40 PST,+681.007
2005-11-01 05:20:00 PST,+681.007
2005-11-01 05:23:20 PST,+681.007
2005-11-01 05:26:40 PST,+1041.24
2005-11-01 05:30:00 PST,+1091.24
2005-11-01 05:33:20 PST,+771.009
2005-11-01 05:36:40 PST,+4078.36
2005-11-01 05:40:00 PST,+1091.24
2005-11-01 05:43:20 PST,+771.009
2005-11-01 05:46:40 PST,+4081.15
2005-11-01 05:50:00 PST,+1091.24
2005-11-01 05:53:20 PST,+876.012
2005-11-01 05:56:40 PST,+4204.94
2005-11-01 06:00:00 PST,+4206.05
2005-11-01 06:03:20 PST,+876.012
2005-11-01 06:06:40 PST,+876.012
2005-11-01 06:10:00 PST,+4199.79
2005-11-01 06:13:20 PST,+876.012
2005-11-01 06:16:40 PST,+876.012
2005-11-01 06:20:00 PST,+4209.52
2005-11-01 06:23:20 PST,+876.012
2005-11-01 06:26:40 PST,+1004.01
2005-11-01 06:30:00 PST,+4507.21
2005-11-01 06:33:20 PST,+1484.24
2005-11-01 06:36:40 PST,+1164.02
2005-11-01 06:40:00 PST,+1484.24
2005-11-01 06:43:20 PST,+6542.8
2005-11-01 06:46:40 PST,+3188.31
2005-11-01 06:50:00 PST,+3508.37
